category;;;aggregation;aggregation;aggregation;aggregation;aggregation
country;year;month;Comedy;Entertainment;Film & Animation;Music;Other
DE;2017;11;6068565;14171844;4531410;20845239;13223836
DE;2017;12;16270192;60876128;4538504;29387783;27717690
DE;2018;1;10952858;29783610;5926501;35212062;23608230
DE;2018;2;7113500;32360666;7758378;33157420;27290955
DE;2018;3;9098110;37597871;8048785;35487800;25648391
DE;2018;4;8278922;31200137;3689010;44940187;21272288
DE;2018;5;11899650;38944527;7085924;72370872;31477354
DE;2018;6;5105608;22817489;3737034;28895703;20403552
FR;2017;11;13714303;7816131;1453532;20960023;11013822
FR;2017;12;29925754;23364661;1793309;26780170;21158320
FR;2018;1;16151814;13076856;2878345;35863685;21614690
FR;2018;2;14757342;15353385;4065732;30650082;20363963
FR;2018;3;14074133;18137064;5129913;37977332;18176426
FR;2018;4;15919058;11485672;1950450;41819736;16643718
FR;2018;5;18649746;17638633;5179406;57954396;26685098
FR;2018;6;7613294;11371158;2180735;25308810;15506009
GB;2017;11;11020364;35794190;3465578;147911597;23042368
GB;2017;12;38822892;161959660;4635690;204021786;47696399
GB;2018;1;22243272;74972959;4907582;254387481;50944578
GB;2018;2;16484803;70341909;33177490;398350495;87996662
GB;2018;3;17550720;114331171;43229706;801781698;97802173
GB;2018;4;17102707;130022930;20308472;617290545;66259148
GB;2018;5;12273147;105568548;28499255;977519883;39831649
GB;2018;6;7874271;51274864;9194860;341729567;18887259
US;2017;11;14335435;26570394;8291683;85173641;24661225
US;2017;12;35337729;92625755;7213793;98943833;63245961
US;2018;1;29575644;35461787;13185882;97809472;75849655
US;2018;2;15744798;30031618;22304634;80661436;69153821
US;2018;3;35059632;82203203;19915566;162284475;103346386
US;2018;4;33396496;75221354;23162859;212714773;98013074
US;2018;5;33133699;129247972;41645661;451793906;172325295
US;2018;6;19763313;59154408;30277398;227457048;104852484